timestamp,processing time,predicted pt
76640,1,2.626176496
76649,2,2.537477922
76653,2,2.382757815
76653,18,9.258858205
76653,2,2.567973555
76662,1,2.567973555
76662,1,2.626176496
76662,1,2.626176496
76662,1,2.626176496
76678,1,2.537477922
76679,4,2.753393673
76679,1,2.753393673
76679,4,2.537477922
76680,1,2.753393673
76681,1,2.567973555
76685,1,2.626176496
76685,1,1.893769032
76685,1,2.567973555
76685,1,2.626176496
76690,3,4.414161488
76691,3,4.567505865
76691,3,4.567505865
76692,3,2.507755872
76693,1,1.76706227
76693,1,1.76706227
76694,2,1.76706227
76694,2,1.76706227
76694,2,1.76706227
76696,15,8.920394866
